userID	movieID	rating	date_day	date_month	date_year	date_hour	date_minute	date_second
175	1	4	4	12	2005	6	36	46
175	6	5	4	12	2005	6	40	18
175	19	0.5	4	12	2005	6	42	9
175	21	0.5	4	12	2005	6	39	29
175	25	2	4	12	2005	6	40	0
175	32	4	4	12	2005	6	28	18
175	36	5	4	12	2005	6	40	15
175	39	5	4	12	2005	6	39	51
175	47	1	4	12	2005	6	22	38
175	50	5	4	12	2005	6	15	53
175	58	4	4	12	2005	6	5	58
175	95	2.5	4	12	2005	6	39	48
175	104	5	4	12	2005	6	43	21
175	105	4	9	7	2006	9	7	6
175	110	5	4	12	2005	6	36	9
175	111	5	4	12	2005	6	20	15
175	150	5	4	12	2005	6	36	8
175	172	2	4	12	2005	6	6	33
175	208	0.5	4	12	2005	6	39	25
175	223	5	4	12	2005	6	30	32
175	253	3	4	12	2005	6	39	14
175	260	0.5	4	12	2005	6	36	15
175	288	5	4	12	2005	6	40	22
175	292	3	4	12	2005	6	38	47
175	293	5	4	12	2005	6	19	49
175	296	5	4	12	2005	6	18	4
175	300	4	4	12	2005	6	40	33
175	306	5	19	8	2007	19	9	15
175	307	5	19	8	2007	19	8	50
175	308	5	19	8	2007	19	9	27
175	318	5	4	12	2005	6	36	5
175	344	4	4	12	2005	6	37	27
175	349	5	4	12	2005	6	37	32
175	356	5	4	12	2005	6	36	31
175	357	4	4	12	2005	6	39	4
175	364	5	4	12	2005	6	38	1
175	367	3	4	12	2005	6	38	38
175	377	3	4	12	2005	6	37	14
175	380	1	4	12	2005	6	36	22
175	410	0.5	4	12	2005	6	41	25
175	454	3.5	4	12	2005	6	39	7
175	457	5	4	12	2005	6	35	55
175	480	5	4	12	2005	6	36	33
175	500	4	4	12	2005	6	38	21
175	509	4.5	4	12	2005	6	42	5
175	527	5	4	12	2005	6	16	45
175	529	5	9	7	2006	9	6	50
175	539	4	4	12	2005	6	38	58
175	541	5	4	12	2005	6	20	17
175	587	3	4	12	2005	6	38	56
175	588	5	4	12	2005	6	37	6
175	589	3	4	12	2005	6	36	26
175	590	2	4	12	2005	6	36	2
175	592	4	4	12	2005	6	35	58
175	593	5	4	12	2005	6	18	7
175	595	5	4	12	2005	6	37	42
175	597	4	4	12	2005	6	38	18
175	608	5	4	12	2005	6	18	30
175	648	3.5	4	12	2005	6	37	19
175	733	4	4	12	2005	6	38	15
175	750	4.5	4	12	2005	6	16	48
175	858	5	4	12	2005	6	16	11
175	903	5	4	12	2005	6	20	37
175	904	5	4	12	2005	6	6	2
175	912	5	4	12	2005	6	17	56
175	913	4.5	4	12	2005	6	18	25
175	919	5	4	12	2005	6	41	6
175	922	5	4	12	2005	6	21	35
175	923	5	4	12	2005	6	20	53
175	924	5	4	12	2005	6	41	9
175	930	4	4	12	2005	6	20	56
175	965	5	4	12	2005	6	29	17
175	1036	4	4	12	2005	6	40	28
175	1079	3.5	4	12	2005	6	42	16
175	1080	3.5	4	12	2005	6	43	35
175	1089	5	4	12	2005	6	20	41
175	1090	5	4	12	2005	6	5	53
175	1094	4	4	12	2005	6	6	26
175	1097	3.5	4	12	2005	6	38	41
175	1101	5	4	12	2005	6	43	24
175	1131	5	4	12	2005	6	29	28
175	1136	5	4	12	2005	6	18	43
175	1172	5	4	12	2005	6	26	49
175	1179	4	9	7	2006	9	6	41
175	1183	5	9	7	2006	9	6	37
175	1193	5	4	12	2005	6	16	7
175	1196	5	4	12	2005	6	20	3
175	1197	5	4	12	2005	6	19	55
175	1198	5	4	12	2005	6	37	59
175	1200	5	4	12	2005	6	28	8
